song_id,name,mood_type
335,Katy Perry - Roar.mp3,excited
337,Pharrell Williams - Happy.mp3,excited
339,Shaun Jacobs - With You.mp3,excited
343,Ne-Yo - Let Me Love You.mp3,excited
355,Queen - We Are The Champions.mp3,excited
356,Queen - Don't stop me now.mp3,excited
358,Queen - Somebody to Love.mp3,excited
359,Ariana Grande - Side To Side.mp3,excited
360,Bruno Mars - Runaway Baby.mp3,excited
361,Bruno Mars - Treasure.mp3,excited
362,"Earth, Wind & Fire - September.mp3",excited
364,Foster the People - Helena Beat.mp3,excited
370,The Weeknd - Party Monster.mp3,excited
374,Wafia - Heartburn.mp3,excited
376,Capital Cities - Safe And Sound.mp3,excited
377,Two Door Cinema Club - Undercover Martyn.mp3,excited
378,Young the Giant - My Body.mp3,excited
379,Snow Patrol - Called out in the dark.mp3,excited
382,Grouplove - Shark Attack.mp3,excited
383,Foster the people - Houdini.mp3,excited
384,Tiesto - Wasted.mp3,excited
397,Lady Gaga - Poker Face.mp3,excited
399,Rihanna - Don't Stop The Music.mp3,excited
400,Taio Cruz - Break Your Heart.mp3,excited
401,Taio Cruz - Dynamite.mp3,excited
402,The Wanted - Glad You Came.mp3,excited
405,B-52 - Love Shack.mp3,excited
406,Beastie Boys - Fight For Your Right.mp3,excited
407,Blondie - Heart Of Glass.mp3,excited
408,Britney Spears - Toxic.mp3,excited
409,Danza Kuduro - Don Omar.mp3,excited
410,Deee Lite - Groove is in the Heart.mp3,excited
412,Ginuwine - Pony.mp3,excited
413,Iggy Azalea - Black Widow.mp3,excited
414,Justin Timberlake - Rock Your Body.mp3,excited
415,Justin Timberlake - SexyBack.mp3,excited
416,Kanye West - Gold Digger.mp3,excited
417,Lil Jon - Get Low.mp3,excited
420,Nelly - Hot In Herre.mp3,excited
421,Nelly - Ride Wit Me.mp3,excited
422,Nelly Furtado - Promiscuous.mp3,excited
423,OutKast - Ms. Jackson.mp3,excited
424,P!nk - Get The Party Started.mp3,excited
425,Quad City Dj's - C'Mon 'N Ride It.mp3,excited
426,R. Kelly - Ignition.mp3,excited
427,Rick James - Super Freak.mp3,excited
428,Right Said Fred - I'm Too Sexy.mp3,excited
429,Rihanna - Umbrella.mp3,excited
431,Shakira - Hips Don't Lie.mp3,excited
432,Surfaris - Wipe Out.mp3,excited
433,Sweet Caroline (Good Times Never Seemed So Good).mp3,excited
434,TAG TEAM - WHOOMP THERE IT IS.mp3,excited
435,The Black Eyed Peas - I Gotta Feeling.mp3,excited
437,The Pussycat Dolls - Don't Cha.mp3,excited
438,The Troggs - Wild Thing.mp3,excited
439,The True Lyrics to Louie Louie.mp3,excited
443,Village People - YMCA.mp3,excited
444,Will Smith - Miami.mp3,excited
445,Grouplove - Lovely Cup.mp3,excited
447,Vampire Weekend - Diane Young.mp3,excited
453,Charlie Puth - One Call Away.mp3,excited
454,Charlie Puth - We Dont Talk Anymore.mp3,excited
456,Ed Sheeran - Shape of You.mp3,excited
468,Shawn Mendes - Treat You Better.mp3,excited
470,Sia - Unstoppable.mp3,excited
471,SOLANGE - CRANES IN THE SKY,excited
472,The Lumineers - Ophelia.mp3,excited
487,"Jack Johnson - Sitting, Waiting, Wishing.mp3",excited
488,Vampire Weekend - Cape Cod Kwassa Kwassa.mp3,excited
489,John Mayer - Queen Of California.mp3,excited
490,Lana Del Rey - West Coast.mp3,excited
491,Jack Johnson - Upside Down.mp3,excited
497,Niykee Heaton - Bad Intentions.mp3,excited
502,Carly Rae Jepsen - Call Me Maybe.mp3,excited
505,Katy Perry - California Gurls.mp3,excited
512,Reflections - Misterwives,excited
513,Aaron Smith - Dancin.mp3,excited
514,Asaf Avidan - One day Reckoning Song.mp3,excited
515,Daft Punk - Giorgio by Moroder.mp3,excited
519,Ella Eyre - We Don't Have To Take Our Clothes Off.mp3,excited
520,Felix Jaehn - Ain't Nobody.mp3,excited
521,George Ezra - Budapest.mp3,excited
523,Justin Timberlake - Suit & Tie.mp3,excited
524,Klingande - Jubel.mp3,excited
527,Olly Murs - Wrapped Up.mp3,excited
528,OneRepublic - Counting Stars.mp3,excited
529,Smash Mouth - All Star.mp3,excited
532,The Fray - You Found Me.mp3,excited
535,Vance Joy - Riptide.mp3,excited
536,Victoria Magda - Pumped Up Kicks.mp3,excited
537,Rihanna - Disturbia.mp3,excited
557,Sin Fang - Look at the Light.mp3,excited
567,Jack Johnson - Better Together.mp3,excited
569,Walk the moon - Tightrope.mp3,excited
570,David Guetta - Titanium.mp3,excited
571,Ellie Goulding - Burn.mp3,excited
572,Gwen Stefani - Hollaback Girl.mp3,excited
573,OutKast - Hey Ya!.mp3,excited
576,Calvin Harris - Slide.mp3,excited
577,Bruno Mars - Uptown Funk.mp3,excited
578,Survivor - Eye of the tiger.mp3,excited
579,Justin Timberlake - Can't stop the feeling.mp3,excited
581,Walk the moon - Work this body.mp3,excited
583,KONGOS - Come With Me Now.mp3,excited
584,Jain - Come.mp3,excited
585,The Strokes - Under Cover of Darkness.mp3,excited
589,Olly Murs - Troublemaker.mp3,excited
590,Deorro - Goin Up.mp3,excited
591,Calvin Harris - My Way.mp3,excited
593,Robbie Williams - Rock DJ.mp3,excited
596,Meghan Trainer - Me Too.mp3,excited
599,Steve Aoki - Just Hold On.mp3 ,excited
600,Train - Drive By.mp3,excited
601,2 Chainz We Own It ft. Wiz Khalifa.mp3,excited
603,Alessia Cara - Wild Things.mp3,excited
604,Bruno Mars - 24K Magic.mp3,excited
605,Calvin Harris - This Is What You Came For.mp3,excited
606,David Guetta ft. Zara Larsson - This Ones For You.mp3,excited
607,DJ Snake - Let Me Love You.mp3,excited
608,EMINEM - lose yourself.mp3,excited
609,Eminem - Till I Collapse.mp3,excited
610,Eminem - You Dont Know.mp3,excited
611,Imagine Dragons - Radioactive.mp3,excited
612,Kanye West - POWER.mp3,excited
613,Knife Party - Bonfire.mp3,excited
614,Major Lazer - Light It Up.mp3,excited
615,One Direction - Drag Me Down.mp3,excited
616,Rachel Platten - Fight Song.mp3,excited
617,Fort Minor - Red to Black.mp3,excited
619,SAIL - AWOLNATION.mp3,excited
621,The Chainsmokers - Closer.mp3,excited
622,The Chainsmokers - Setting Fires.mp3,excited
623,The Weeknd - Starboy.mp3,excited
340,Shaun Jacobs - Will You Remember.mp3,sad
342,P!nk - Just Give Me A Reason.mp3,sad
344,Labrinth - Beneath Your Beautiful.mp3,sad
346,Linkin Park - Shadow of the Day.mp3,sad
347,Coldplay - The Escapist.mp3,sad
349,Coldplay - Yellow.mp3,sad
350,Coldplay - Lovers in Japan.mp3,sad
351,Coldplay - Strawberry Swing.mp3,sad
353,Radiohead - Fake Plastic Trees.mp3,sad
354,Journey - Open Arms.mp3,sad
357,Queen - Bohemian Rhapsody.mp3,sad
365,Louis the child - Fire.mp3,sad
366,Justin Bieber - The Feeling.mp3,sad
367,Kygo - Nothing Left.mp3,sad
371,Tove Lo - Say it.mp3,sad
385,Sufjan Stevens - The Dress Looks Nice on You.mp3,sad
386,Kygo - For What Its Worth.mp3,sad
387,Hozier - In a Week.mp3,sad
388,Lucy Rose - Shiver.mp3,sad
390,RY X - Berlin.mp3,sad
391,"High Highs - London, After the Rain.mp3",sad
448,Adele - Hello.mp3,sad
457,Ed Sheeran - Thinking Out Loud.mp3,sad
458,James Arthur - Say You Wont Let Go.mp3,sad
459,Joel Adams - Please Dont Go.mp3,sad
461,Justin Bieber - Sorry.mp3,sad
462,Kings Of Leon - WALLS.mp3,sad
463,Lifehouse - You And Me.mp3,sad
466,Niall Horan - This Town.mp3,sad
467,Ruth B - Lost Boy.mp3,sad
469,Shawn Mendes - Stitches.mp3,sad
473,ZAYN - I Donâ€™t Wanna Live.mp3,sad
474,Red Hot Chili Peppers - Dosed.mp3,sad
475,Harry Nilsson - Without You.mp3,sad
476,Journey - Faithfully.mp3,sad
477,Muse - Unintended.mp3,sad
478,Pink Floyd - Wish You Were Here.mp3,sad
479,Sade - By Your Side.mp3,sad
480,Rain At Night - Oh So Quiet.mp3,sad
482,J. Tillman - Love No less worthy.mp3,sad
484,Jeff Buckley - Morning Theft.mp3,sad
485,Phosphorecent - Song for Zula.mp3,sad
486,James Bay - Let It Go.mp3,sad
493,The xx - On Hold.mp3,sad
494,Wingtip - Rewind.mp3,sad
496,Kygo - Raging.mp3,sad
498,Massive Attack - Teardrop.mp3,sad
500,Theia - Roam.mp3,sad
501,Marissa Nadler - Leave the light on.mp3,sad
506,3 Doors Down - Here Without You.mp3,sad
507,ABBA - The Winner Takes It All.mp3,sad
509,Coldplay - Fix You.mp3,sad
510,Coldplay - The Scientist.mp3,sad
511,Timbaland - Apologize.mp3,sad
516,Daft Punk - Within.mp3,sad
517,Ed Sheeran - I See Fire.mp3,sad
525,Macklemore - Same Love.mp3,sad
530,One Direction - Steal My Girl.mp3,sad
533,Tom Odell - Another Love.mp3,sad
539,Birdy - People Help The People.mp3,sad
541,Death Cab For Cutie - Transatlanticism.mp3,sad
542,Ed Sheeran - Lego House.mp3,sad
543,Ed Sheeran - The A Team.mp3,sad
544,Greg Holden -  Boys in the Street.mp3,sad
545,John Lennon - Imagine.mp3,sad
546,Red Hot Chili Peppers - Otherside.mp3,sad
547,Red Hot Chili Peppers - The Zephyr Song.mp3,sad
549,Sam Smith - Lay Me Down.mp3,sad
550,Sam Smith - Stay With Me.mp3,sad
551,Bon Iver - Holoscene.mp3,sad
552,Billie Marten - Heavy Weather.mp3,sad
553,Villagers - Nothing Arrived.mp3,sad
554,Fionn Regan - Meetings of the Waters.mp3,sad
555,The National - I Need My Girl.mp3,sad
556,Laura Marling - Take the night off.mp3,sad
558,The Suitcase Junket - The Rain.mp3,sad
560,Ella Vos - White Noise.mp3,sad
562,Kiiara - Feels.mp3,sad
563,The Weeknd - The Morning.mp3,sad
564,Daughter - Smother.mp3,sad
566,Jesse Hale Moore  - Calling You Out.mp3,sad
582,Mr. Probz - Till You're Loved.mp3,sad
592,Galantis - Runaway.mp3,sad
594,Isle of Skye - Jupiter.mp3,sad
597,San Holo - Light.mp3,sad
