song_id,name,weather_type
335,Katy Perry - Roar.mp3,sunny
336,Katy Perry - Firework.mp3,sunny
337,Pharrell Williams - Happy.mp3,sunny
339,Shaun Jacobs - With You.mp3,sunny
343,Ne-Yo - Let Me Love You.mp3,sunny
348,Coldplay - Clocks.mp3,sunny
350,Coldplay - Lovers in Japan.mp3,sunny
354,Journey - Open Arms.mp3,sunny
355,Queen - We Are The Champions.mp3,sunny
356,Queen - Don't stop me now.mp3,sunny
357,Queen - Bohemian Rhapsody.mp3,sunny
358,Queen - Somebody to Love.mp3,sunny
360,Bruno Mars - Runaway Baby.mp3,sunny
361,Bruno Mars - Treasure.mp3,sunny
363,Two Door Cinema Club - Sun.mp3,sunny
364,Foster the People - Helena Beat.mp3,sunny
372,Edward Sharpe - Home.mp3,sunny
373,John Mayer - Vultures.mp3,sunny
377,Two Door Cinema Club - Undercover Martyn.mp3,sunny
378,Young the Giant - My Body.mp3,sunny
379,Snow Patrol - Called out in the dark.mp3,sunny
380,Passion Pit - Dreams.mp3,sunny
381,M83 - Midnight City.mp3,sunny
382,Grouplove - Shark Attack.mp3,sunny
383,Foster the people - Houdini.mp3,sunny
384,Tiesto - Wasted.mp3,sunny
394,Ke$ha - Die Young.mp3,sunny
395,Ke$ha - TiK ToK.mp3,sunny
396,Lady Gaga - Just Dance.mp3,sunny
397,Lady Gaga - Poker Face.mp3,sunny
398,Party Rock Anthem - LMFAO.mp3,sunny
399,Rihanna - Don't Stop The Music.mp3,sunny
401,Taio Cruz - Dynamite.mp3,sunny
403,50 Cent - In Da Club.mp3,sunny
407,Blondie - Heart Of Glass.mp3,sunny
408,Britney Spears - Toxic.mp3,sunny
409,Danza Kuduro - Don Omar.mp3,sunny
410,Deee Lite - Groove is in the Heart.mp3,sunny
411,Def Leppard - Pour Some Sugar On Me.mp3,sunny
412,Ginuwine - Pony.mp3,sunny
415,Justin Timberlake - SexyBack.mp3,sunny
416,Kanye West - Gold Digger.mp3,sunny
417,Lil Jon - Get Low.mp3,sunny
421,Nelly - Ride Wit Me.mp3,sunny
422,Nelly Furtado - Promiscuous.mp3,sunny
423,OutKast - Ms. Jackson.mp3,sunny
426,R. Kelly - Ignition.mp3,sunny
428,Right Said Fred - I'm Too Sexy.mp3,sunny
429,Rihanna - Umbrella.mp3,sunny
430,Sean Paul - Temperature.mp3,sunny
431,Shakira - Hips Don't Lie.mp3,sunny
432,Surfaris - Wipe Out.mp3,sunny
433,Sweet Caroline (Good Times Never Seemed So Good).mp3,sunny
434,TAG TEAM - WHOOMP THERE IT IS.mp3,sunny
436,The Cha Cha Slide - Dj Casper.mp3,sunny
437,The Pussycat Dolls - Don't Cha.mp3,sunny
438,The Troggs - Wild Thing.mp3,sunny
439,The True Lyrics to Louie Louie.mp3,sunny
440,Timbaland - The Way I Are.mp3,sunny
441,Tommy James & the Shondells - Mony Mony.mp3,sunny
442,Usher - Yeah!.mp3,sunny
444,Will Smith - Miami.mp3,sunny
445,Grouplove - Lovely Cup.mp3,sunny
446,Grouplove - Naked Kids.mp3,sunny
447,Vampire Weekend - Diane Young.mp3,sunny
453,Charlie Puth - One Call Away.mp3,sunny
454,Charlie Puth - We Dont Talk Anymore.mp3,sunny
456,Ed Sheeran - Shape of You.mp3,sunny
461,Justin Bieber - Sorry.mp3,sunny
474,Red Hot Chili Peppers - Dosed.mp3,sunny
476,Journey - Faithfully.mp3,sunny
477,Muse - Unintended.mp3,sunny
478,Pink Floyd - Wish You Were Here.mp3,sunny
479,Sade - By Your Side.mp3,sunny
487,"Jack Johnson - Sitting, Waiting, Wishing.mp3",sunny
488,Vampire Weekend - Cape Cod Kwassa Kwassa.mp3,sunny
491,Jack Johnson - Upside Down.mp3,sunny
502,Carly Rae Jepsen - Call Me Maybe.mp3,sunny
503,Fun. - We Are Young.mp3,sunny
504,Journey - Don't Stop Believin'.mp3,sunny
505,Katy Perry - California Gurls.mp3,sunny
509,Coldplay - Fix You.mp3,sunny
510,Coldplay - The Scientist.mp3,sunny
512,Reflections - Misterwives,sunny
524,Klingande - Jubel.mp3,sunny
526,Mark Ronson - Uptown Funk.mp3,sunny
529,Smash Mouth - All Star.mp3,sunny
531,Taylor Swift - Blank Space.mp3,sunny
532,The Fray - You Found Me.mp3,sunny
536,Victoria Magda - Pumped Up Kicks.mp3,sunny
537,Rihanna - Disturbia.mp3,sunny
538,Bastille - Oblivion.mp3,sunny
539,Birdy - People Help The People.mp3,sunny
540,Sia - Breathe Me.mp3,sunny
541,Death Cab For Cutie - Transatlanticism.mp3,sunny
542,Ed Sheeran - Lego House.mp3,sunny
544,Greg Holden -  Boys in the Street.mp3,sunny
548,Sam Smith - I'm Not The Only One.mp3,sunny
549,Sam Smith - Lay Me Down.mp3,sunny
550,Sam Smith - Stay With Me.mp3,sunny
559,Bright Eyes - First Day of My Life.mp3,sunny
567,Jack Johnson - Better Together.mp3,sunny
568,John Mayer - Wildfire.mp3,sunny
569,Walk the moon - Tightrope.mp3,sunny
570,David Guetta - Titanium.mp3,sunny
571,Ellie Goulding - Burn.mp3,sunny
573,OutKast - Hey Ya!.mp3,sunny
577,Bruno Mars - Uptown Funk.mp3,sunny
578,Survivor - Eye of the tiger.mp3,sunny
581,Walk the moon - Work this body.mp3,sunny
585,The Strokes - Under Cover of Darkness.mp3,sunny
587,Life of Dillon - Rocks.mp3,sunny
588,Kings of Leon - Sex on Fire.mp3,sunny
593,Robbie Williams - Rock DJ.mp3,sunny
596,Meghan Trainer - Me Too.mp3,sunny
597,San Holo - Light.mp3,sunny
600,Train - Drive By.mp3,sunny
604,Bruno Mars - 24K Magic.mp3,sunny
605,Calvin Harris - This Is What You Came For.mp3,sunny
607,DJ Snake - Let Me Love You.mp3,sunny
608,EMINEM - lose yourself.mp3,sunny
609,Eminem - Till I Collapse.mp3,sunny
613,Knife Party - Bonfire.mp3,sunny
614,Major Lazer - Light It Up.mp3,sunny
615,One Direction - Drag Me Down.mp3,sunny
617,Fort Minor - Red to Black.mp3,sunny
618,Fort Minor - Remember The Name.mp3,sunny
619,SAIL - AWOLNATION.mp3,sunny
620,Sia - The Greatest.mp3,sunny
622,The Chainsmokers - Setting Fires.mp3,sunny
624,Tiësto - On My Way.mp3,sunny
455,Ed Sheeran - Castle On The Hill.mp3,snowy
459,Joel Adams - Please Dont Go.mp3,snowy
463,Lifehouse - You And Me.mp3,snowy
470,Sia - Unstoppable.mp3,snowy
472,The Lumineers - Ophelia.mp3,snowy
513,Aaron Smith - Dancin.mp3,snowy
520,Felix Jaehn - Ain't Nobody.mp3,snowy
521,George Ezra - Budapest.mp3,snowy
534,Tracy Chapman - Fast Car.mp3,snowy
535,Vance Joy - Riptide.mp3,snowy
340,Shaun Jacobs - Will You Remember.mp3,rainy
341,Shaun Jacobs - Don't Give Up On Me Yet.mp3,rainy
345,Snow Patrol - Chasing Cars.mp3,rainy
346,Linkin Park - Shadow of the Day.mp3,rainy
347,Coldplay - The Escapist.mp3,rainy
349,Coldplay - Yellow.mp3,rainy
387,Hozier - In a Week.mp3,rainy
390,RY X - Berlin.mp3,rainy
448,Adele - Hello.mp3,rainy
451,Calum Scott - Dancing On My Own.mp3,rainy
458,James Arthur - Say You Wont Let Go.mp3,rainy
460,John Mayer - Love On The Weekend.mp3,rainy
462,Kings Of Leon - WALLS.mp3,rainy
466,Niall Horan - This Town.mp3,rainy
467,Ruth B - Lost Boy.mp3,rainy
473,ZAYN - I Don’t Wanna Live.mp3,rainy
480,Rain At Night - Oh So Quiet.mp3,rainy
481,Iron & Wine - Each Coming Night.mp3,rainy
482,J. Tillman - Love No less worthy.mp3,rainy
483,Band of Horses - No One's gonna love you.mp3,rainy
484,Jeff Buckley - Morning Theft.mp3,rainy
485,Phosphorecent - Song for Zula.mp3,rainy
486,James Bay - Let It Go.mp3,rainy
506,3 Doors Down - Here Without You.mp3,rainy
507,ABBA - The Winner Takes It All.mp3,rainy
508,blink-182 - I Miss You.mp3,rainy
514,Asaf Avidan - One day Reckoning Song.mp3,rainy
515,Daft Punk - Giorgio by Moroder.mp3,rainy
517,Ed Sheeran - I See Fire.mp3,rainy
522,John Legend - All Of Me.mp3,rainy
525,Macklemore - Same Love.mp3,rainy
530,One Direction - Steal My Girl.mp3,rainy
545,John Lennon - Imagine.mp3,rainy
546,Red Hot Chili Peppers - Otherside.mp3,rainy
551,Bon Iver - Holoscene.mp3,rainy
552,Billie Marten - Heavy Weather.mp3,rainy
553,Villagers - Nothing Arrived.mp3,rainy
554,Fionn Regan - Meetings of the Waters.mp3,rainy
555,The National - I Need My Girl.mp3,rainy
556,Laura Marling - Take the night off.mp3,rainy
557,Sin Fang - Look at the Light.mp3,rainy
558,The Suitcase Junket - The Rain.mp3,rainy
564,Daughter - Smother.mp3,rainy
566,Jesse Hale Moore  - Calling You Out.mp3,rainy
582,Mr. Probz - Till You're Loved.mp3,rainy
583,KONGOS - Come With Me Now.mp3,rainy
592,Galantis - Runaway.mp3,rainy
603,Alessia Cara - Wild Things.mp3,rainy
611,Imagine Dragons - Radioactive.mp3,rainy
616,Rachel Platten - Fight Song.mp3,rainy
366,Justin Bieber - The Feeling.mp3,cold
367,Kygo - Nothing Left.mp3,cold
368,Rihanna - Needed Me.mp3,cold
369,Post Malone - White Iverson.mp3,cold
370,The Weeknd - Party Monster.mp3,cold
371,Tove Lo - Say it.mp3,cold
374,Wafia - Heartburn.mp3,cold
392,Klyne - Water Flow.mp3,cold
493,The xx - On Hold.mp3,cold
494,Wingtip - Rewind.mp3,cold
495,Kita Alexander - Plain Sight.mp3,cold
497,Niykee Heaton - Bad Intentions.mp3,cold
498,Massive Attack - Teardrop.mp3,cold
499,The Weeknd - I feel it coming.mp3,cold
561,Rihanna - Love on the brain.mp3,cold
562,Kiiara - Feels.mp3,cold
580,Alan Walker - Alone.mp3,cold
586,Lost Frequencies - All or Nothing.mp3,cold
590,Deorro - Goin Up.mp3,cold
594,Isle of Skye - Jupiter.mp3,cold
595,Craig David - Ain't Giving Up.mp3,cold
599,Steve Aoki - Just Hold On.mp3,cold
